status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,default,amount_duration_ratio,age_bucket,log_amount,duration_squared,high_installment,amount_per_person,senior_flag,young_flag,multiple_credits,long_duration
... < 100 DM,6,critical account/other credits existing,domestic appliances,1169,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes,1,1,194.83333333333334,60+,7.063903961472068,36,1,1169.0,1,0,1,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,no,yes,0,0,123.97916666666667,18-30,8.691314551644853,2304,0,5951.0,0,1,0,1
no checking account,12,critical account/other credits existing,retraining,2096,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1,1,174.66666666666666,46-60,7.647786045440933,144,0,1048.0,0,0,0,0
... < 100 DM,42,existing credits paid back duly till now,radio/television,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,no,yes,1,1,187.66666666666666,31-45,8.97233695775495,1764,0,3941.0,0,0,0,1
... < 100 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,no,yes,0,0,202.91666666666666,46-60,8.490849216076635,576,1,2435.0,0,0,1,1
no checking account,36,existing credits paid back duly till now,retraining,9055,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,35,none,for free,1,unskilled - resident,2,yes,yes,1,1,251.52777777777777,31-45,9.111072370317514,1296,0,4527.5,0,0,0,1
no checking account,24,existing credits paid back duly till now,radio/television,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,no,yes,1,1,118.125,46-60,7.949797216161852,576,1,2835.0,0,0,0,1
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,35,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,193.0,31-45,8.846209127360996,1296,0,6948.0,0,0,0,1
no checking account,12,existing credits paid back duly till now,domestic appliances,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1,1,254.91666666666666,60+,8.025843344150903,144,0,3059.0,1,0,0,0
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,0,174.46666666666667,18-30,8.562931083090092,900,1,5234.0,0,0,1,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee/official,1,no,yes,0,0,107.91666666666667,18-30,7.166265974133638,144,1,1295.0,0,0,0,0
... < 100 DM,48,existing credits paid back duly till now,others,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,0,0,89.75,18-30,8.36822903827628,2304,1,4308.0,0,1,0,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee/official,1,yes,yes,1,1,130.58333333333334,18-30,7.356918242356021,144,0,1567.0,0,1,0,0
... < 100 DM,24,critical account/other credits existing,car (new),1199,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,60,none,own,2,unskilled - resident,1,no,yes,0,0,49.958333333333336,46-60,7.089243155027514,576,1,1199.0,0,0,1,1
... < 100 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,no,yes,1,1,93.53333333333333,18-30,7.246368080102461,225,0,1403.0,0,0,0,0
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,no,yes,0,0,53.416666666666664,31-45,7.156176637480615,576,1,1282.0,0,0,0,1
no checking account,24,critical account/other credits existing,domestic appliances,2424,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,no,yes,1,1,101.0,46-60,7.793174347189205,576,1,2424.0,0,0,1,1
... < 100 DM,30,no credits taken/all credits paid back duly,others,8072,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,25,bank,own,3,skilled employee/official,1,no,yes,1,1,269.06666666666666,18-30,8.996156562033445,900,0,8072.0,0,0,1,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,524.125,31-45,9.439784035838873,576,1,12579.0,0,0,0,1
no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,31,none,own,1,skilled employee/official,2,yes,yes,1,1,142.91666666666666,31-45,8.140315540159985,576,1,1715.0,0,0,0,1
no checking account,9,critical account/other credits existing,car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,own,3,skilled employee/official,1,yes,yes,1,1,237.11111111111111,46-60,7.665753431861699,81,1,2134.0,0,0,1,0
... < 100 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee/official,2,no,yes,1,1,441.1666666666667,31-45,7.881182202227102,36,0,1323.5,0,0,0,0
... < 100 DM,10,critical account/other credits existing,car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,1,1,224.1,46-60,7.714677473800927,100,0,1120.5,0,0,1,0
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,no,yes,1,1,150.33333333333334,31-45,7.4977617006225685,144,1,1804.0,0,0,0,0
no checking account,10,critical account/other credits existing,radio/television,2069,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,no,no,1,1,206.9,18-30,7.634820677745543,100,0,2069.0,0,0,1,0
... < 100 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1,1,229.0,31-45,7.2254814727822945,36,0,1374.0,0,0,0,0
no checking account,6,no credits taken/all credits paid back duly,domestic appliances,426,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,no,yes,1,1,71.0,31-45,6.054439346269371,36,1,426.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,no,yes,1,1,34.083333333333336,31-45,6.013715156042802,144,1,409.0,0,0,1,0
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,no,yes,1,1,345.0,31-45,7.789454566086673,49,1,2415.0,0,0,0,0
... < 100 DM,60,delay in paying off in the past,others,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,yes,yes,0,0,113.93333333333334,60+,8.829958044235482,3600,1,6836.0,1,0,1,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,1913,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,1,1,106.27777777777777,31-45,7.556427969440253,324,1,1913.0,0,0,0,0
... < 100 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,27,stores,own,1,skilled employee/official,1,no,yes,1,1,167.5,18-30,8.299037181613066,576,0,4020.0,0,0,0,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,own,2,skilled employee/official,1,yes,yes,1,1,325.8888888888889,18-30,8.676928249537397,324,0,5866.0,0,0,1,0
no checking account,12,critical account/other credits existing,others,1264,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,57,none,rent,1,unskilled - resident,1,no,yes,1,1,105.33333333333333,46-60,7.142036574706803,144,1,1264.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,122.83333333333333,31-45,7.295735072749282,144,1,1474.0,0,0,0,0
